"ID_UNIVERSIDAD","ID_TITULACION","NOMBRE_TITULACION","NOMBRE_TIPO_TITULACION"
"042","2500435","Graduado o Graduada en Lengua y Literatura Hispáni","Grado"
"042","2500436","Graduado o Graduada en Bioquímica y Biología Molec","Grado"
"042","2500437","Graduado o Graduada en Biotecnología","Grado"
"042","2500438","Graduado o Graduada en Enología","Grado"
"042","2500439","Graduado o Graduada en Química","Grado"
"042","2500440","Graduado o Graduada en Enfermería ","Grado"
"042","2500440","Graduado o Graduada en Enfermería por la Universid","Grado"
"042","2500441","Graduado o Graduada en Medicina","Grado"
"042","2500442","Graduado o Graduada en Psicología ","Grado"
"042","2500443","Graduado o Graduada en Derecho por la Universidad ","Grado"
"042","2500444","Graduado o Graduada en Geografía y Ordenación del ","Grado"
"042","2500445","Graduado o Graduada en Relaciones Laborales y Empl","Grado"
"042","2500445","Graduado o Graduada en Relaciones Laborales y Empl","Grado"
"042","2500446","Graduado o Graduada en Trabajo Social","Grado"
"042","2500446","Graduado o Graduada en Trabajo Social por la Unive","Grado"
"042","2500447","Graduado o Graduada en Comunicación Audiovisual","Grado"
"042","2500448","Graduado o Graduada en Educación Social","Grado"
"042","2500449","Graduado o Graduada en Pedagogía","Grado"
"042","2500450","Graduado o Graduada en Periodismo","Grado"
"042","2500451","Graduado o Graduada en Publicidad y Relaciones Púb","Grado"
"042","2500452","Graduado o Graduada en Administración y Dirección ","Grado"
"042","2500453","Graduado o Graduada en Economía ","Grado"
"042","2500454","Graduado o Graduada en Educación Infantil ","Grado"
"042","2500455","Graduado o Graduada en Educación Primaria ","Grado"
"042","2500456","Graduado o Graduada en Turismo ","Grado"
"014","2500457","Graduado o Graduada en Biología ","Grado"
"014","2500458","Graduado o Graduada en Biotecnología ","Grado"
"014","2500459","Graduado o Graduada en Física ","Grado"
"014","2500460","Graduado o Graduada en Administración y Dirección ","Grado"
"014","2500461","Graduado o Graduada en Economía ","Grado"
"007","2500462","Graduado o Graduada en Psicología ","Grado"
"019","2500463","Graduado o Graduada en Educación Social ","Grado"
"019","2500464","Graduado o Graduada en Educación Infantil","Grado"
"019","2500465","Graduado o Graduada en Educación Primaria","Grado"
"038","2500466","Graduado o Graduada en Comunicación Audiovisual","Grado"
"038","2500467","Graduado o Graduada en Publicidad y Relaciones Púb","Grado"
"021","2500468","Graduado o Graduada en Ciencia y Tecnología de los","Grado"
"021","2500469","Graduado o Graduada en Geología ","Grado"
"021","2500470","Graduado o Graduada en Óptica y Optometría","Grado"
"021","2500471","Graduado o Graduada en Medicina ","Grado"
"021","2500472","Graduado o Graduada en Ciencias de la Actividad Fí","Grado"
"021","2500473","Graduado o Graduada en Maestro en Educación Infant","Grado"
"021","2500474","Graduado o Graduada en Maestro en Educación Primar","Grado"
"023","2500475","Graduado o Graduada en Biología ","Grado"
"023","2500476","Graduado o Graduada en Matemáticas ","Grado"
"023","2500477","Graduado o Graduada en Economía ","Grado"
"004","2500478","Graduado o Graduada en Cine y Medios Audiovisuales","Grado"
"004","2500479","Graduado o Graduada en Ciencias Ambientales","Grado"
"004","2500480","Graduado o Graduada en Matemáticas ","Grado"
"004","2500481","Graduado o Graduada en Podología ","Grado"
"004","2500482","Graduado o Graduada en Trabajo Social ","Grado"
"004","2500483","Graduado o Graduada en Antropología Social y Cultu","Grado"
"004","2500484","Graduado o Graduada en Ingeniería Química","Grado"
"051","2500485","Graduado o Graduada en Química ","Grado"
"034","2500486","Graduado o Graduada en Maestro en Educación Primar","Grado"
"034","2500486","Graduado o Graduada en Maestro en Educación Primar","Grado"
"010","2500487","Graduado o Graduada en Biología por la Universidad","Grado"
"010","2500487","Graduado o Graduada en Biología ","Grado"
"002","2500488","Graduado o Graduada en Ciencias de la Actividad Fí","Grado"
"043","2500489","Graduado o Graduada en Comunicación Cultural ","Grado"
"044","2500490","Graduado o Graduada en Trabajo Social","Grado"
"012","2500491","Graduado o Graduada en Bellas Artes","Grado"
"012","2500492","Graduado o Graduada en Traducción e Interpretación","Grado"
"012","2500493","Graduado o Graduada en Logopedia  por la Universid","Grado"
"012","2500493","Graduado o Graduada en Logopedia ","Grado"
"012","2500494","Graduado o Graduada en Ingeniería Informática","Grado"
"028","2500495","Graduado o Graduada en Estudios Ingleses. Lengua, ","Grado"
"024","2500496","Graduado o Graduada en Matemáticas","Grado"
"025","2500497","Graduado o Graduada en Ingeniería de Computadores","Grado"
"039","2500498","Graduado o Graduada en Economía ","Grado"
"041","2500499","Graduado o Graduada en Logopedia","Grado"
"029","2500500","Graduado o Graduada en Información y Documentación","Grado"
"022","2500501","Graduado o Graduada en Historia","Grado"
"022","2500502","Graduado o Graduada en Microbiología ","Grado"
"022","2500503","Graduado o Graduada en Informática y Servicios","Grado"
"004","2500504","Graduado o Graduada en Historia","Grado"
"004","2500505","Graduado o Graduada en Química","Grado"
"004","2500506","Graduado o Graduada en Odontología","Grado"
"004","2500507","Graduado o Graduada en Información y Documentación","Grado"
